date,TargetXGB_scale
2017-01-15 0:00,30.51104857
2017-01-16 0:00,1575.148498
2017-01-17 0:00,-32.81034825
2017-01-18 0:00,1372.902653
2017-01-19 0:00,32.6701973
2017-01-20 0:00,27.16909194
2017-01-21 0:00,-255.4128597
2017-01-22 0:00,-75.5430095
2017-01-23 0:00,-161.3540266
2017-01-24 0:00,44.69003158
2017-01-25 0:00,-144.0163627
2017-01-26 0:00,-197.4188229
2017-01-27 0:00,-420.3131845
2017-01-28 0:00,48.78572399
2017-01-29 0:00,-200.4067533
2017-01-30 0:00,-126.8280495
2017-01-31 0:00,-109.2463945
2017-02-01 0:00,4.528070392
2017-02-02 0:00,360.7918778
2017-02-03 0:00,-46.28264458
2017-02-04 0:00,187.6429303
2017-02-05 0:00,-644.5603979
2017-02-06 0:00,-219.3886889
2017-02-07 0:00,248.3055627
2017-02-08 0:00,-3.188372899
2017-02-09 0:00,51.10211209
2017-02-10 0:00,763.9020603
2017-02-11 0:00,78.1509566
2017-02-12 0:00,1072.162953
2017-02-13 0:00,-295.9686515
2017-02-14 0:00,-479.2292138
2017-02-15 0:00,495.9737147
2017-02-16 0:00,-133.7620242
2017-02-17 0:00,-387.2298633
2017-02-18 0:00,-40.4033996
2017-02-19 0:00,17.43240183
2017-02-20 0:00,-107.3876444
2017-02-21 0:00,39.95956841
2017-02-22 0:00,-116.4739025
2017-02-23 0:00,393.7107835
2017-02-24 0:00,-65.2009987
2017-02-25 0:00,619.0642043
2017-02-26 0:00,31.78750157
2017-02-27 0:00,44.96872811
2017-02-28 0:00,-30.73072096
2017-03-01 0:00,44.74886246
2017-03-02 0:00,257.5095384
2017-03-03 0:00,-227.7784581
2017-03-04 0:00,-30.41090474
2017-03-05 0:00,-6.151042052
2017-03-06 0:00,-178.4532601
2017-03-07 0:00,-403.6241745
2017-03-08 0:00,33.6843523
2017-03-09 0:00,656.5100944
2017-03-10 0:00,-147.2833354
2017-03-11 0:00,-96.06031569
2017-03-12 0:00,566.6541497
2017-03-13 0:00,-491.299216
2017-03-14 0:00,-103.7737392
2017-03-15 0:00,531.995175
2017-03-16 0:00,-203.953613
2017-03-17 0:00,17.54338199
2017-03-18 0:00,-108.511556
2017-03-19 0:00,48.11319535
2017-03-20 0:00,85.18449774
2017-03-21 0:00,39.96152238
2017-03-22 0:00,-306.0788913
2017-03-23 0:00,-139.617525
2017-03-24 0:00,48.55978481
2017-03-25 0:00,-6.658999517
2017-03-26 0:00,48.64205465
2017-03-27 0:00,-129.3684921
2017-03-28 0:00,-474.8087565
2017-03-29 0:00,51.47158782
2017-03-30 0:00,-718.0759404
2017-03-31 0:00,54.16090187
2017-04-01 0:00,-103.1358596
2017-04-02 0:00,-110.6006845
2017-04-03 0:00,284.9213873
2017-04-04 0:00,272.0675407
2017-04-05 0:00,5.135947011
2017-04-06 0:00,197.5517999
2017-04-07 0:00,38.48462745
